index,var1,var1 Hex,blk_ptr,blk_ptr Hex,Type,Type Hex,var4,var4 Hex,File Type
0,"4,260",10A4,4260,10A4,9089,2381,248281,3C9D9,BMD
1,"128,688",1F6B0,128688,1F6B0,1026,402,833,341,
2,"129,140",1F874,129140,1F874,10625,2981,398017,612C1,BMD
3,"328,484",50324,328484,50324,515,203,28696,7018,
4,"342,848",53B40,342848,53B40,5890,1702,7921,1EF1,
5,"346,996",54B74,346996,54B74,1283,503,5745,1671,
6,"349,912",556D8,349912,556D8,0,0,53888,D280,
7,"376,856",5C018,376856,5C018,7681,1E01,225465,370B9,BMD
8,"489,832",77968,489832,77968,10369,2881,307105,4AFA1,BMD
9,"643,712",9D280,643712,9D280,5633,1601,183409,2CC71,BMD
10,"735,596",B396C,735596,B396C,4,4,4416,1140,
11,"737,804",B420C,737804,B420C,4,4,5496,1578,
12,"740,552",B4CC8,740552,B4CC8,515,203,28696,7018,
13,"754,916",B84E4,754916,B84E4,0,0,62128,F2B0,
14,"785,980",BFE3C,785980,BFE3C,7681,1E01,335377,51E11,BMD
15,"953,912",E8E38,953912,E8E38,9473,2501,299785,49309,BMD
16,"1,104,104",10D8E8,1104104,10D8E8,4,4,6712,1A38,
17,"1,107,460",10E604,1107460,10E604,4,4,4008,FA8,
18,"1,109,464",10EDD8,1109464,10EDD8,515,203,8169,1FE9,
19,"1,113,568",10FDE0,1113568,10FDE0,5121,1401,166537,28A89,BMD
20,"1,197,000",1243C8,1197000,1243C8,0,0,6616,19D8,
21,"1,200,308",1250B4,1200308,1250B4,899,383,633,279,
22,"1,200,656",125210,1200656,125210,4,4,6712,1A38,
23,"1,204,012",125F2C,1204012,125F2C,6,6,5009,1391,MIDI
24,"1,206,520",1268F8,1206520,1268F8,4482,1182,5457,1551,
25,"1,209,392",127430,1209392,127430,1154,482,873,369,
26,"1,209,868",12760C,1209868,12760C,9985,2701,303921,4A331,BMD
27,"1,362,144",14C8E0,1362144,14C8E0,4,4,5496,1578,
28,"1,364,892",14D39C,1364892,14D39C,1026,402,785,311,
29,"1,365,320",14D548,1365320,14D548,5249,1481,194793,2F8E9,BMD
30,"1,462,884",165264,1462884,165264,515,203,321,141,
31,"1,463,064",165318,1463064,165318,4,4,4216,1078,
32,"1,465,172",165B54,1465172,165B54,4481,1181,134849,20EC1,BMD
33,"1,532,740",176344,1532740,176344,11009,2B01,403745,62921,BMD
34,"1,734,960",1A7930,1734960,1A7930,5123,1403,147825,24171,
35,"1,809,036",1B9A8C,1809036,1B9A8C,6,6,3793,ED1,MIDI
36,"1,810,936",1BA1F8,1810936,1BA1F8,0,0,2696,A88,
37,"1,812,284",1BA73C,1812284,1BA73C,0,0,19400,4BC8,
38,"1,821,984",1BCD20,1821984,1BCD20,6402,1902,6553,1999,
39,"1,825,464",1BDAB8,1825464,1BDAB8,515,203,1985,7C1,
40,"1,826,476",1BDEAC,1826476,1BDEAC,1665,681,39449,9A19,BMD
41,"1,846,256",1C2BF0,1846256,1C2BF0,641,281,10129,2791,BMD
42,"1,851,344",1C3FD0,1851344,1C3FD0,9473,2501,299785,49309,BMD
43,"2,001,536",1E8A80,2001536,1E8A80,4481,1181,119433,1D289,BMD
