MissionInfo Name,In-Game Name,Index
Level1A,1-1 Where's the band?,0
Level1B,1-2 Where's the band?,1
Level1C,1-3 Where's the band?,2
Level1D,1-4 Where's the band?,3
Level2A,2-1 Fair Play,4
Level2B,2-2 Fair Play,5
Level2C,2-3 Fair Play,6
Level2D,2-4 Fair Play,7
Level3A,3-1 Get to the show on time!,8
Level3B,3-2 Get to the show on time!,9
Level3C,3-3 Get to the show on time!,10
Level4A,4-1 Protect Drake!,11
Level5A,5-1 Believe in magic!,12
Level6A,6-1 Stepbrothers in disguise,13
Level6B,6-2 Stepbrothers in disguise,14
Level7A,7-1 Room service!,15
Level7B,7-2 Room service!,16
Level8A,8-1 Lost and found,17
Level8B,8-2 Lost and found,18
Level9A,9-1 Oh my! It's Drew and Jerry!,19
Level9B,9-2 Oh my! It's Drew and Jerry!,20
Level10A,10-1 Giddy up!,21
Level10B,10-2 Giddy up!,22
Level11A,11-1 Under pressure,23
Level11B,11-2 Under pressure,24
Level11C,11-3 Under Pressure,25
Level12A,12-1 Get back to the stage on time!,26
Level12B,12-2 Get back to the stage on time!,27
Level13A,13-1 Josh is just magic!,28
Level14A,A few last words…,29
GuitarL1,Rehearsal,30
GuitarL1,Qualifying performance,31
GuitarL2B,Practice before show,32
GuitarL3,Cowboy song,33
GuitarL2,The finale,34
prototype_school_floor,,35
None,,37
