Model ID,Unofficial Name,Render,Type 4s,Type 4 Count,BMDs
0x0073dfe8,,,"0x4243eeb1, 0x48503d56, 0x485866e8, 0x567ca5bd, 0x5c6f765a, 0x6202993f, 0xc32438c4, 0xc52a8999, 0xc93fb09d, 0xdb061172, 0xdd08a02f, 0xf3683016, 0xf973b84f",13,"4260.bmd@24, 953912.bmd@49, 1851344.bmd@49, 2145040.bmd@21, 2715784.bmd@24, 3015392.bmd@47, 3435788.bmd@21, 8362104.bmd@51, 8786604.bmd@48, 10033984.bmd@8, 10768392.bmd@49, 11818848.bmd@45, 12713244.bmd@31"
0x033a18fd,,,0xdb061172,1,4260.bmd@48
0x074dd133,,,"0x4243eeb1, 0x48503d56, 0x485866e8, 0x567ca5bd, 0x5c6f765a, 0x943ef9c0, 0xc32438c4, 0xc52a8999, 0xc93fb09d, 0xcf3101c0, 0xdb061172, 0xdd08a02f, 0xf3683016, 0xf973b84f",14,"4260.bmd@0, 376856.bmd@0, 489832.bmd@56, 953912.bmd@52, 1851344.bmd@52, 2145040.bmd@49, 2715784.bmd@0, 3015392.bmd@40, 3435788.bmd@48, 8362104.bmd@47, 8786604.bmd@51, 10768392.bmd@52, 11818848.bmd@46, 12713244.bmd@34"
0x0adcfdb1,,,"0x0cb33492, 0x48503d56, 0x567ca5bd, 0x5c6f765a, 0x6202993f, 0x8009e972, 0x8bda53ba, 0xc32438c4, 0xc93fb09d, 0xcf3101c0, 0xdb061172, 0xf3683016, 0xf973b84f",13,"4260.bmd@16, 129140.bmd@21, 376856.bmd@24, 953912.bmd@37, 1209868.bmd@23, 1532740.bmd@23, 1851344.bmd@37, 2715784.bmd@21, 3435788.bmd@17, 8786604.bmd@36, 10033984.bmd@4, 10768392.bmd@37, 12713244.bmd@20"
0x10395f06,,,"0x567ca5bd, 0x5c6f765a, 0xdb061172",3,"4260.bmd@15, 2715784.bmd@19, 3435788.bmd@16"
0x16ed99cd,bikes,,"0xcf3101c0, 0xdb061172",2,"4260.bmd@54, 376856.bmd@15"
0x17f1ee63,vending_machines,,"0x0cb33492, 0x13579ee8, 0x4243eeb1, 0x485866e8, 0x567ca5bd, 0x5c6f765a, 0x6a2dcfd5, 0x8009e972, 0x8bda53ba, 0xc32438c4, 0xc52a8999, 0xc93fb09d, 0xdb061172, 0xdd08a02f, 0xf3683016, 0xf973b84f",16,"4260.bmd@47, 129140.bmd@19, 953912.bmd@35, 1209868.bmd@21, 1532740.bmd@21, 1851344.bmd@35, 2145040.bmd@36, 2715784.bmd@42, 2845212.bmd@11, 3015392.bmd@33, 3435788.bmd@42, 8362104.bmd@40, 8786604.bmd@34, 10768392.bmd@35, 11354640.bmd@38, 11818848.bmd@40"
0x23062071,,,"0x567ca5bd, 0x5c6f765a, 0xc52a8999, 0xdb061172",4,"4260.bmd@25, 2715784.bmd@25, 3435788.bmd@22, 8362104.bmd@52"
0x24a29756,trash_can,,"0x07608e5a, 0x0cb33492, 0x194c16b1, 0x1f42a7ec, 0x4243eeb1, 0x48503d56, 0x485866e8, 0x567ca5bd, 0x5c6f765a, 0x8009e972, 0x8bda53ba, 0x9e257199, 0xc32438c4, 0xc52a8999, 0xc93fb09d, 0xcf3101c0, 0xdb061172, 0xdd08a02f, 0xf3683016, 0xf973b84f",20,"4260.bmd@42, 129140.bmd@16, 376856.bmd@19, 953912.bmd@24, 1209868.bmd@52, 1532740.bmd@17, 1851344.bmd@24, 2145040.bmd@37, 2602756.bmd@23, 2715784.bmd@28, 3015392.bmd@34, 3435788.bmd@34, 8301872.bmd@18, 8362104.bmd@23, 8786604.bmd@24, 9165008.bmd@18, 10768392.bmd@24, 11818848.bmd@41, 11907728.bmd@22, 12713244.bmd@14"
0x2a31149f,,,"0x13579ee8, 0x4243eeb1, 0x48503d56, 0x485866e8, 0x567ca5bd, 0x5c6f765a, 0x6202993f, 0x943ef9c0, 0xc32438c4, 0xc52a8999, 0xc93fb09d, 0xcf3101c0, 0xdb061172, 0xdd08a02f, 0xf3683016, 0xf973b84f",16,"4260.bmd@2, 376856.bmd@2, 489832.bmd@49, 953912.bmd@0, 1851344.bmd@0, 2145040.bmd@0, 2715784.bmd@3, 2845212.bmd@62, 3015392.bmd@0, 3435788.bmd@0, 8362104.bmd@0, 8786604.bmd@0, 10033984.bmd@1, 10768392.bmd@0, 11818848.bmd@0, 12713244.bmd@4"
