type,type hex,Count,AVERAGE of 2*length-var4,All the same?,File Type,Bottom 7,Top Bits,
0,0,37,0.05405405405,FALSE,,0,0,
4,4,37,0,TRUE,,4,0,
6,6,13,7,TRUE,MIDI,6,0,
385,181,2,31,TRUE,BMD,1,3,
515,203,12,37.25,FALSE,,3,4,
641,281,1,47,TRUE,BMD,1,5,
642,282,1,47,TRUE,,2,5,
769,301,4,55,TRUE,BMD,1,6,
770,302,2,55,TRUE,,2,6,
899,383,6,63,TRUE,,3,7,
"1,026",402,25,71,TRUE,,2,8,
"1,153",481,1,79,TRUE,BMD,1,9,
"1,154",482,6,79,TRUE,,2,9,
"1,281",501,1,87,TRUE,BMD,1,10,
"1,282",502,1,87,TRUE,,2,10,
"1,283",503,4,87,TRUE,,3,10,
"1,665",681,1,111,TRUE,BMD,1,13,
"1,922",782,2,127,TRUE,,2,15,
"2,049",801,1,135,TRUE,BMD,1,16,
"2,435",983,2,159,TRUE,,3,19,
"2,561",A01,1,167,TRUE,BMD,1,20,
"3,587",E03,1,231,TRUE,,3,28,
"3,970",F82,2,255,TRUE,,2,31,
"3,971",F83,2,255,TRUE,,3,31,
"4,353",1101,1,279,TRUE,BMD,1,34,
"4,355",1103,1,279,TRUE,,3,34,
"4,481",1181,3,287,TRUE,BMD,1,35,
"4,482",1182,1,287,TRUE,,2,35,
"4,609",1201,3,295,TRUE,BMD,1,36,
"4,739",1283,2,303,TRUE,,3,37,
"4,993",1381,2,319,TRUE,BMD,1,39,
"5,121",1401,9,327,TRUE,BMD,1,40,
"5,122",1402,1,327,TRUE,,2,40,
"5,123",1403,2,327,TRUE,,3,40,
"5,249",1481,5,335,TRUE,BMD,1,41,
"5,250",1482,2,335,TRUE,,2,41,
"5,505",1581,1,351,TRUE,BMD,1,43,
"5,506",1582,2,351,TRUE,,2,43,
"5,633",1601,4,359,TRUE,BMD,1,44,
"5,634",1602,1,359,TRUE,,2,44,
"5,761",1681,4,367,TRUE,BMD,1,45,
"5,762",1682,1,367,TRUE,,2,45,
"5,889",1701,1,375,TRUE,BMD,1,46,
"5,890",1702,5,375,TRUE,,2,46,
"6,146",1802,1,391,TRUE,,2,48,
"6,274",1882,1,399,TRUE,,2,49,
"6,402",1902,1,407,TRUE,,2,50,
"6,530",1982,1,415,TRUE,,2,51,
"6,659",1A03,2,423,TRUE,,3,52,
"6,785",1A81,1,431,TRUE,BMD,1,53,
"6,913",1B01,1,439,TRUE,BMD,1,54,
"6,914",1B02,5,439,TRUE,,2,54,
"7,041",1B81,2,447,TRUE,BMD,1,55,
"7,170",1C02,1,455,TRUE,,2,56,
"7,425",1D01,1,471,TRUE,BMD,1,58,
"7,681",1E01,3,487,TRUE,BMD,1,60,
"7,809",1E81,1,495,TRUE,BMD,1,61,
"8,065",1F81,2,511,TRUE,BMD,1,63,
"8,193",2001,3,519,TRUE,BMD,1,64,
"8,194",2002,1,519,TRUE,,2,64,
"8,321",2081,1,527,TRUE,BMD,1,65,
"8,322",2082,1,527,TRUE,,2,65,
"8,449",2101,1,535,TRUE,BMD,1,66,
"8,706",2202,1,551,TRUE,,2,68,
"8,961",2301,1,567,TRUE,BMD,1,70,
"9,089",2381,1,575,TRUE,BMD,1,71,
"9,345",2481,1,591,TRUE,BMD,1,73,
"9,346",2482,1,591,TRUE,,2,73,
"9,473",2501,3,599,TRUE,BMD,1,74,
"9,985",2701,1,631,TRUE,BMD,1,78,
"10,369",2881,1,655,TRUE,BMD,1,81,
"10,625",2981,1,671,TRUE,BMD,1,83,
"11,009",2B01,1,695,TRUE,BMD,1,86,
"11,265",2C01,1,711,TRUE,BMD,1,88,
"1,342,177,797",50000205,1,32,TRUE,,5,10485764,A00004
"1,342,178,053",50000305,2,51.5,FALSE,,5,10485766,A00006
"1,342,178,181",50000385,1,63,TRUE,,5,10485767,A00007
"1,342,178,309",50000405,2,64,TRUE,,5,10485768,A00008
"1,342,200,069",50005905,1,1424,TRUE,,5,10485938,A000B2
