collisionKey, x1, y1, z1, x2, y2, z2
"0A584E64",  110.215,    1.600,   48.545,    1.200,    0.720,    0.000
"0A584E64",  109.815,    1.600,   48.545,    1.200,    0.720,    0.000
"0A52A689",  110.430,    0.000,   39.141,  114.059,    2.660,   47.426
"0A52A680",  110.430,    0.000,   39.141,  114.059,    2.660,   47.426
"0A584E64",  110.242,    1.599,   47.930,    1.200,    0.720,    0.000
"0A584E64",  109.958,    1.599,   47.646,    1.200,    0.720,    0.000
"0A584E64",  109.675,    1.599,   47.363,    1.200,    0.720,    0.000
"0A584E64",  109.392,    1.599,   47.080,    1.200,    0.720,    0.000
"0A584E64",  109.109,    1.599,   47.797,    1.200,    0.720,    0.000
"0A584E64",  109.109,    1.600,   47.397,    1.200,    0.720,    0.000
"0A584E64",  109.109,    1.600,   46.997,    1.200,    0.720,    0.000
"0A584E64",  109.109,    1.600,   46.597,    1.200,    0.720,    0.000
"0A584E64",  109.109,    1.600,   46.197,    1.200,    0.720,    0.000
"0A584E64",  109.109,    1.600,   46.797,    1.200,    0.720,    0.000
"0A584E64",  109.109,    1.600,   46.397,    1.200,    0.720,    0.000
"0A584E64",  109.109,    1.600,   45.998,    1.200,    0.720,    0.000
"0A584E64",  109.109,    1.600,   45.598,    1.200,    0.720,    0.000
"0A584E64",  109.109,    1.600,   45.198,    1.200,    0.720,    0.000
"0A584E64",  109.109,    1.600,   45.798,    1.200,    0.720,    0.000
"0ADD3AA4",  109.109,    1.600,   45.398,    1.200,    0.720,    0.000
"0ADD3AA4",  109.109,    1.600,   44.998,    1.200,    0.720,    0.000
"0A525599",  105.913,    0.000,   39.141,  108.542,    2.660,   47.426
"0ADD2144",  109.338,    1.600,   43.980,    1.200,    0.720,    0.000
"0A52559F",  105.913,    0.000,   39.141,  108.542,    2.660,   47.426
"0A52559D",  108.152,    1.600,   39.766,    1.200,    0.720,    0.000
"0A52559D",  107.949,    1.600,   39.610,    1.200,    0.720,    0.000
"0A52559D",  107.794,    1.600,   39.415,    1.200,    0.720,    0.000
"0A52559D",  105.913,    0.000,   39.141,  108.542,    2.660,   47.426
"0A52A178",  105.749,    0.000,   36.855,  108.745,    1.826,   38.191
"0A52559F",  107.189,    1.600,   38.765,    1.200,    0.720,    0.000
"0A525596",  105.913,    0.000,   39.141,  108.542,    2.660,   47.426
"0A5045C8",  105.373,    0.000,   35.440,  105.438,    4.330,   41.013
"0A52A17C",  105.749,    0.000,   36.855,  108.745,    1.826,   38.191
"0A504764",  105.374,    0.000,   40.438,  105.438,    4.330,   46.011
